"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"TQ66",2784,77,0.443,5.29,30.52,0.74,72,175.7,6
"TQ67",2785,59,0.312,11.65,32.94,0.74,38.8,165.2,6
"TQ68",2786,18,0.233,12.93,29.58,0.74,29.8,154.5,4
"TQ69",2787,17,0.309,9.95,30.93,0.74,43.4,171.4,6
"TQ70",2788,25,0.37,8.4,27.65,0.74,55.7,183.5,7
"TQ71",2789,91,0.438,6.07,37.8,0.74,84.4,220.7,6
"TQ72",2790,90,0.449,6.03,39.17,0.74,84.1,215.9,7
"TQ73",2791,102,0.453,5.77,36.88,0.74,84.3,211.4,7
"TQ74",2792,78,0.481,5.43,35.23,0.74,81,191.1,7
"TQ75",2793,91,0.418,5.85,31.59,0.74,69.7,183.1,6
"TQ76",2794,64,0.387,7.72,29.5,0.74,54.4,169.2,6
"TQ77",2795,22,0.388,7.64,37.01,0.74,57.4,177.2,6
"TQ78",2796,45,0.365,9.4,31.68,0.74,52.1,184.9,6
"TQ79",2797,16,0.317,10.55,34.6,0.74,45.2,181.3,6
"TQ80",2798,22,0.318,12.17,28.66,0.74,39,165.6,7
"TQ81",2799,104,0.455,5.93,39.16,0.74,83.8,211.8,7
"TQ82",2800,65,0.48,5.44,38.65,0.74,85,200.7,8
"TQ83",2801,109,0.46,5.73,37.25,0.74,83.3,206.1,7
"TQ84",2802,84,0.473,5.62,38.23,0.74,81.9,198,8
"TQ85",2803,102,0.472,4.64,30.72,0.74,74.2,165.2,6
"TQ86",2804,59,0.404,7.21,35.22,0.74,60.9,179.4,6
"TQ87",2805,11,0.252,17.09,39.58,0.74,32.9,187.6,6
"TQ88",2806,70,0.279,14.4,34.1,0.74,33,163.3,6
"TQ89",2807,37,0.286,12.45,35.4,0.74,40.3,185,6
"TQ91",2808,76,0.471,5.75,37.79,0.74,80.8,197.6,7
"TQ92",2809,85,0.453,4.78,25.42,0.74,67.9,156.8,5
"TQ93",2810,59,0.511,4.74,34.79,0.74,85.9,185,8
"TQ94",2811,106,0.505,4.66,33.95,0.74,84.1,181,7
"TQ95",2812,86,0.444,4.41,23.72,0.74,67.2,150.8,4
