"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"NH08",347,20,0.181,17.7,34.93,0.74,46.4,323.4,5
"NH09",348,23,0.166,18.7,34.49,0.74,40.6,305.2,6
"NH10",349,18,0.158,21.35,40.87,0.74,35,288.4,3
"NH11",350,7,0.149,27.66,39.55,0.74,31.4,309.5,5
"NH12",351,92,0.161,25.71,37.75,0.74,34.3,310.4,4
"NH13",352,37,0.156,23.2,37.21,0.74,32.3,281.7,4
"NH14",353,11,0.169,19.8,34.73,0.74,36.1,279.5,5
"NH15",354,22,0.18,17.85,33.61,0.74,38.8,274.3,5
"NH16",355,13,0.172,21.05,30.35,0.74,34.8,274,5
"NH17",356,35,0.203,17.52,35.4,0.74,50.7,335.8,4
"NH18",357,126,0.187,16.85,33.29,0.74,46.8,311.6,4
"NH19",358,33,0.177,18.56,34.59,0.74,43.7,314.8,4
"NH20",359,39,0.179,16.87,37.82,0.74,43,294.9,5
"NH21",360,30,0.171,17.02,39.42,0.74,38.8,273.2,6
"NH22",361,122,0.228,12.85,35.7,0.74,57.4,306.4,5
"NH23",362,94,0.197,16.75,38.27,0.74,47.6,311.6,4
"NH24",363,15,0.19,17.06,35.61,0.74,42.9,288.4,5
"NH25",364,27,0.202,15.76,36.65,0.74,46.9,293.8,5
"NH26",365,72,0.199,16.65,35.31,0.74,44.4,287.9,3
"NH27",366,51,0.199,17.31,31.93,0.74,42.6,281.7,4
"NH28",367,81,0.21,16.6,33.26,0.74,54.4,347.2,4
"NH29",368,12,0.171,21,34.7,0.74,42.1,330.9,4
"NH30",369,30,0.205,16.08,35.72,0.74,54.7,343.3,4
"NH31",370,137,0.184,16.12,37.44,0.74,43.4,286.5,5
"NH32",371,35,0.182,17.32,42.6,0.74,42.4,293.3,5
"NH33",372,128,0.217,15.3,38.13,0.74,54,323.7,4
"NH34",373,21,0.188,17.82,39.29,0.74,44.4,306.6,4
"NH35",374,29,0.204,15.81,36.29,0.74,49.3,308.1,5
"NH36",375,81,0.205,15.85,36.37,0.74,47.3,294.8,4
"NH37",376,22,0.192,17.29,31.16,0.74,40,266.6,4
"NH38",377,80,0.203,16.9,29.96,0.74,44,283.1,4
"NH39",378,34,0.176,19.89,33.33,0.74,44.7,340.3,4
"NH40",379,11,0.155,24.21,39.89,0.74,33.2,298.3,5
"NH41",380,75,0.252,12.02,36,0.74,67.3,332.2,5
"NH42",381,113,0.189,16.46,41.94,0.74,45.8,303.3,5
"NH43",382,47,0.221,14.53,36.58,0.74,56.1,324.9,5
"NH44",383,29,0.225,14.83,39.99,0.74,55.7,323.4,4
"NH45",384,75,0.233,15.88,37.38,0.74,51.5,304.6,4
"NH46",385,19,0.195,15.68,33.27,0.74,44.1,280.2,5
"NH47",386,5,0.162,18.59,32.19,0.74,32.1,239.9,5
"NH48",387,51,0.186,16.89,29.36,0.74,39,260.6,4
"NH49",388,26,0.183,22,29.57,0.74,35.4,272.7,5
"NH50",389,8,0.157,32.11,39.39,0.74,33.9,355.1,5
"NH51",390,2,0.172,19.86,36.17,0.74,40.7,311.8,4
"NH52",391,102,0.252,12.22,37.45,0.74,64.9,323.9,5
"NH53",392,64,0.244,12.83,38.25,0.74,61.3,318.5,5
"NH54",393,56,0.207,19.3,37.83,0.74,44.3,306.2,5
"NH55",394,47,0.197,19.72,37.13,0.74,39.9,286.1,5
